,NAICS_TITLE,OCC_TITLE,O_GROUP,H_MEAN,A_MEAN
0,Cross-industry,Data Scientists,broad,55.4,115240
2,"Cross-industry, private ownership only",Data Scientists,broad,56.06,116600
4,"Mining, Quarrying, and Oil and Gas Extraction",Data Scientists,broad,56.12,116740
6,Utilities,Data Scientists,broad,49.33,102610
8,Construction,Data Scientists,broad,41.01,85290
10,Wholesale Trade,Data Scientists,broad,53.55,111380
12,Information,Data Scientists,broad,0,0
14,Finance and Insurance,Data Scientists,broad,56.6,117720
16,Real Estate and Rental and Leasing,Data Scientists,broad,47.79,99410
18,"Professional, Scientific, and Technical Services",Data Scientists,broad,54.54,113450
20,Management of Companies and Enterprises,Data Scientists,broad,54.77,113920
22,Administrative and Support and Waste Management and Remediation Services,Data Scientists,broad,46.86,97460
24,Educational Services,Data Scientists,broad,40.42,84070
26,Health Care and Social Assistance,Data Scientists,broad,42.97,89380
28,"Arts, Entertainment, and Recreation",Data Scientists,broad,40.95,85180
30,Accommodation and Food Services,Data Scientists,broad,40.76,84770
32,Other Services (except Public Administration),Data Scientists,broad,42.81,89050
34,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Data Scientists,broad,39.83,82840
36,Oil and Gas Extraction,Data Scientists,broad,62.96,130950
38,Oil and Gas Extraction,Data Scientists,broad,62.96,130950
40,Support Activities for Mining,Data Scientists,broad,52.32,108830
42,Support Activities for Mining,Data Scientists,broad,52.32,108830
44,Utilities,Data Scientists,broad,49.33,102610
46,"Electric Power Generation, Transmission and Distribution",Data Scientists,broad,45.06,93720
48,Fossil Fuel Electric Power Generation,Data Scientists,broad,55.2,114820
50,Natural Gas Distribution,Data Scientists,broad,62.52,130040
52,Construction of Buildings,Data Scientists,broad,41.86,87070
54,Heavy and Civil Engineering Construction,Data Scientists,broad,33.47,69620
56,Utility System Construction,Data Scientists,broad,34.37,71500
58,Power and Communication Line and Related Structures Construction,Data Scientists,broad,35.5,73850
60,Specialty Trade Contractors,Data Scientists,broad,45.58,94800
62,Building Equipment Contractors,Data Scientists,broad,47.94,99720
64,Electrical Contractors and Other Wiring Installation Contractors,Data Scientists,broad,43.26,89970
66,Other Building Equipment Contractors,Data Scientists,broad,50.81,105690
68,Food Manufacturing,Data Scientists,broad,40.36,83950
70,Animal Slaughtering and Processing,Data Scientists,broad,37.94,78920
72,Bakeries and Tortilla Manufacturing,Data Scientists,broad,26.02,54120
74,Other Food Manufacturing,Data Scientists,broad,38.66,80410
76,Beverage and Tobacco Product Manufacturing,Data Scientists,broad,45.57,94780
78,Beverage Manufacturing,Data Scientists,broad,45.24,94100
80,Paper Manufacturing,Data Scientists,broad,42.23,87840
82,Printing and Related Support Activities,Data Scientists,broad,0,0
84,Printing and Related Support Activities,Data Scientists,broad,0,0
86,Chemical Manufacturing,Data Scientists,broad,60.01,124820
88,Pharmaceutical and Medicine Manufacturing,Data Scientists,broad,62,128960
90,Plastics and Rubber Products Manufacturing,Data Scientists,broad,34.35,71450
92,Plastics Product Manufacturing,Data Scientists,broad,34.1,70930
94,Nonmetallic Mineral Product Manufacturing,Data Scientists,broad,45.74,95150
96,Nonmetallic Mineral Product Manufacturing,Data Scientists,broad,45.74,95150
98,Primary Metal Manufacturing,Data Scientists,broad,45.11,93830
100,Fabricated Metal Product Manufacturing,Data Scientists,broad,40.96,85200
102,Machinery Manufacturing,Data Scientists,broad,46.29,96290
104,Commercial and Service Industry Machinery Manufacturing,Data Scientists,broad,52.35,108880
106,Metalworking Machinery Manufacturing,Data Scientists,broad,39.73,82640
108,"Engine, Turbine, and Power Transmission Equipment Manufacturing",Data Scientists,broad,50.02,104050
110,Computer and Electronic Product Manufacturing,Data Scientists,broad,66.55,138430
112,Computer and Peripheral Equipment Manufacturing,Data Scientists,broad,76.13,158350
114,Communications Equipment Manufacturing,Data Scientists,broad,48.54,100950
116,Semiconductor and Other Electronic Component Manufacturing,Data Scientists,broad,71.28,148270
118,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Data Scientists,broad,58.26,121190
120,Manufacturing and Reproducing Magnetic and Optical Media,Data Scientists,broad,0,0
