Keyword,Indeed,Simply
Python,4305,3141
SQL,3163,2249
R,3105,2344
Spark,1691,1147
Hadoop,1574,1070
Java,1457,1008
Tableau,1147,883
AWS,1235,788
SAS,965,736
Hive,852,561
Scala,772,592
Excel,606,485
TensorFlow,873,586
C++,798,582
Azure,626,399
NoSQL,597,366
Linux,547,376
C,520,380
Matlab,567,458
Scikit-learn,526,383
Pandas,360,317
Git,347,267
Keras,401,263
Javascript,283,245
Pig,318,198
Hbase,318,163
Google Cloud,181,138
Docker,373,189
NumPy,285,253
PyTorch,323,258
C#,335,176
SPSS,248,213
MySQL,237,203
Perl,336,169
Cassandra,271,132
MongoDB,234,146
GCP,232,116
Kubernetes,261,105
D3,131,105
Databricks,139,90
postgresql,104,94
Caffe,171,77
Airflow,95,77
Alteryx,84,72
BigQuery,133,56
Fastai,1,1
