,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
544,1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,0,0,0,0,0,0,44.03,91570,4.3,25.12,31.77,41.29,53,66.56,52260,66080,85870,110240,138450,0,0
545,2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,150,12,0.483,0.45,0,0,49.91,103810,2.8,29.87,35.93,48.09,62.91,77.07,62130,74740,100040,130860,160310,0,0
546,4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2860,18,0.944,0.87,0,0,50.11,104220,5.2,29.79,37.61,49.41,60.9,75.67,61970,78220,102770,126670,157390,0,0
547,6,California,2,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,29420,2.7,1.668,1.55,0,0,70.86,147390,1.4,30.73,40.87,60.97,82.16,110.95,63920,85010,126810,170890,230780,0,0
548,8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,3540,8.3,1.278,1.18,0,0,56.04,116560,1.7,29.88,38.16,49.62,64.9,79.78,62140,79370,103200,134990,165930,0,0
549,9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,950,6.6,0.58,0.54,0,0,52.99,110220,2.6,25.15,36.03,50.82,64.34,80.66,52310,74940,105700,133820,167760,0,0
550,10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,480,24.3,1.047,0.97,0,0,64.1,133320,2.9,45.45,51.09,63.61,80.65,81.95,94530,106260,132300,167760,170450,0,0
551,11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,3200,17.9,4.638,4.3,0,0,52.98,110190,8,27.95,40.55,46.95,62.7,85.76,58130,84340,97660,130410,178370,0,0
552,12,Florida,2,FL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,8190,4.9,0.889,0.82,0,0,48.45,100780,1.7,25.43,33.74,48.33,61.45,67.15,52900,70170,100520,127810,139670,0,0
553,13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,5650,5.5,1.225,1.14,0,0,51.16,106400,2.9,29.43,37.18,48.27,63.22,76.98,61210,77330,100400,131490,160110,0,0
554,15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,90,17.6,0.155,0.14,0,0,49.75,103470,6.3,19.64,30.28,54.01,59.48,76.04,40860,62990,112330,123720,158170,0,0
555,16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,250,22.9,0.311,0.29,0,0,45.92,95520,3.2,30.21,36.06,46.39,55.91,61.07,62830,75000,96490,116280,127020,0,0
556,17,Illinois,2,IL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,6350,5.3,1.079,1,0,0,52.82,109870,1.1,28.36,38.17,49.87,63.66,80.65,58980,79400,103730,132410,167760,0,0
557,18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2200,7.3,0.712,0.66,0,0,37.93,78890,3.3,21.95,27.46,36.52,46.85,53.92,45650,57120,75970,97450,112150,0,0
558,19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1970,2.3,1.299,1.2,0,0,45.28,94190,1.2,24.51,33,45.61,53.28,64.44,50980,68650,94860,110820,134040,0,0
559,20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,430,32,0.309,0.29,0,0,45.63,94920,7.6,39.01,42.72,42.72,46.76,59.99,81140,88860,88860,97260,124780,0,0
560,21,Kentucky,2,KY,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,0,0,0,0,0,0,41.57,86470,3.8,25.43,33.18,39.42,48,60.67,52890,69010,81990,99830,126190,0,0
561,22,Louisiana,2,LA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,580,10,0.313,0.29,0,0,34.48,71710,3.4,25,29.57,31.45,38.51,43.59,52010,61510,65410,80090,90660,0,0
562,23,Maine,2,ME,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,800,9.2,1.311,1.21,0,0,48.6,101080,4.9,30.84,35.75,46.01,63.07,66.8,64140,74360,95700,131190,138940,0,0
563,24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2010,13.3,0.76,0.7,0,0,57.19,118960,3,32.62,42.09,56.6,70.67,80.26,67860,87560,117730,147000,166940,0,0
564,25,Massachusetts,2,MA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,0,0,0,0,0,0,57.86,120340,4.5,34.24,39.63,51,66.39,84.74,71220,82430,106070,138080,176260,0,0
565,26,Michigan,2,MI,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,3900,8.9,0.918,0.85,0,0,44.62,92820,3.9,26.25,33.37,41.09,51.52,63.21,54600,69410,85470,107170,131480,0,0
566,27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1600,5.5,0.567,0.53,0,0,53.72,111740,0.8,37.06,42.99,51.41,64.11,75.67,77090,89420,106920,133340,157390,0,0
567,28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,0,0,0,0,0,0,31.7,65940,5.4,14.89,19.15,27.38,37.67,50.98,30980,39830,56950,78360,106040,0,0
568,29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,4020,12.4,1.425,1.32,0,0,39.36,81860,2.3,22.67,29.13,37.88,48.88,60.55,47150,60580,78780,101670,125940,0,0
569,30,Montana,2,MT,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,90,19.8,0.192,0.18,0,0,35.93,74720,10.2,24.15,24.15,36.16,43.41,50.18,50230,50230,75200,90280,104370,0,0
570,31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1310,7.1,1.346,1.25,0,0,42.95,89340,2.3,27.73,36.02,40.62,49.53,57.24,57680,74920,84490,103030,119070,0,0
571,32,Nevada,2,NV,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,850,14.3,0.6,0.56,0,0,46.57,96870,8.3,28.84,28.84,39.48,54.76,83.45,59990,59990,82110,113890,173580,0,0
572,33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,620,10.7,0.94,0.87,0,0,41.97,87300,5,23.8,27.9,37.32,52.44,65.62,49490,58040,77620,109070,136480,0,0
573,34,New Jersey,2,NJ,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,3030,19,0.737,0.68,0,0,62.49,129980,3.6,36.02,46.37,62.12,75.74,89.73,74920,96450,129210,157550,186640,0,0
574,35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,330,8.4,0.398,0.37,0,0,41.87,87090,5.3,20.69,28.89,37.88,46.23,63.49,43040,60100,78790,96160,132060,0,0
575,36,New York,2,NY,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,14760,3.6,1.62,1.5,0,0,61.63,128200,1.7,29.11,40.7,59.63,79.32,99.86,60540,84650,124030,164990,207710,0,0
576,37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,5350,8.4,1.151,1.07,0,0,57.67,119960,1,31.52,44.38,58.64,66.33,83.06,65560,92310,121970,137970,172770,0,0
577,38,North Dakota,2,ND,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,150,15.7,0.361,0.33,0,0,44.87,93340,4.7,30.65,34.83,43.77,54.66,64.04,63740,72440,91050,113700,133190,0,0
578,39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,3650,4.5,0.68,0.63,0,0,44.27,92080,1.7,23.26,32.19,42.77,53.73,65.14,48380,66950,88950,111750,135490,0,0
579,40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1740,9.6,1.087,1.01,0,0,42.21,87810,3.4,24.81,30.64,38.33,53.29,68.75,51610,63740,79720,110850,143000,0,0
580,41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1610,8.6,0.848,0.79,0,0,53.41,111090,4.1,28.89,32.52,49.29,66.2,84.03,60100,67630,102530,137690,174790,0,0
581,42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,6370,4.1,1.097,1.02,0,0,46.12,95940,1.5,24.78,33.8,43.91,58.73,65.39,51530,70300,91330,122150,136010,0,0
582,44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,620,9.3,1.286,1.19,0,0,56.53,117570,2.4,38.39,42.2,52.52,64.16,80.91,79840,87770,109240,133460,168290,0,0
583,45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1180,6.6,0.548,0.51,0,0,48.34,100550,1.7,29.52,35.39,47.78,57.35,69.71,61390,73610,99370,119290,145000,0,0
584,46,South Dakota,2,SD,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,110,14.9,0.264,0.24,0,0,52.13,108430,3.7,34.03,42.01,52.07,57.97,66.49,70780,87380,108310,120580,138300,0,0
585,47,Tennessee,2,TN,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1210,10.8,0.389,0.36,0,0,53.88,112070,5.9,31.17,34.83,45.53,62.59,80.48,64830,72450,94690,130200,167390,0,0
586,48,Texas,2,TX,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,13780,3.1,1.061,0.98,0,0,49.15,102230,0.9,22.6,32.66,47.76,62.39,78.95,47010,67940,99350,129780,164210,0,0
587,49,Utah,2,UT,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,3070,7.5,1.886,1.75,0,0,42.63,88660,4,23.43,30.21,39.06,51.17,64.76,48740,62840,81250,106430,134700,0,0
